setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,total,positiu
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,45 a 49,3,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,65 a 69,4,1,0
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,60 a 64,4,2,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,35 a 39,3,1,0
22,2022,30/05/2022,05/06/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,2,1,1
24,2022,13/06/2022,19/06/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,2,1,1
20,2023,15/05/2023,21/05/2023,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,70 a 74,4,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,3,1,1
25,2022,20/06/2022,26/06/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,2,2,2
21,2022,23/05/2022,29/05/2022,61,LLEIDA,6100,LLEIDA,Home,1 i 2,4,5,4
19,2022,09/05/2022,15/05/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,2,1,1
22,2022,30/05/2022,05/06/2022,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Dona,80 o més,3,1,0
20,2023,15/05/2023,21/05/2023,61,LLEIDA,6100,LLEIDA,Home,30 a 34,2,1,0
24,2022,13/06/2022,19/06/2022,64,GIRONA,6400,GIRONA,Home,80 o més,3,1,1
20,2023,15/05/2023,21/05/2023,61,LLEIDA,6100,LLEIDA,Dona,80 o més,2,1,0
20,2023,15/05/2023,21/05/2023,61,LLEIDA,6100,LLEIDA,Dona,1 i 2,4,1,1
